"Source:","C:\Users\jimbr\Documents\KiCad\7.0\projects\Apple-II-R0\AppleII.kicad_sch"
"Date:","02/02/2024 09:19:51"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","196"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Alt","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","DigiKey","Family","MPN","Manufacturer","Sim.Device","Sim.Pins","Status"
"1","1","A2","74LS00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74ls00","","","","","","","","","","","","","",""
"2","1","A3","74LS166","74xx:74LS166","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS166","","","","","","","","","","","","","",""
"3","1","A5","2513 Char ROM","AppleII+:2513","Package_DIP:DIP-24_W15.24mm","","","","","","","","","","","","","","",""
"4","1","A7","Keyboard_Connector","AppleII+:AppleII+_Keyboard_Connector","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","","","","","","","","","","","","","","",""
"5","5","A8, B6, B7, C12, J1","74LS257","74xx:74LS257","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS257","","","","","","","","","","","","","",""
"6","1","A9","74LS151","AppleII+:74LS151","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS151","","","","","","","","","","","","","",""
"7","3","A10, B4, B9","74LS194","74xx:74LS194","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS194","","","","","","","","","","","","","",""
"8","1","B1","74LS175","AppleII+:74LS175","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS175","","","","","","","","","","","","","",""
"9","1","B2","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm","74xx/74ls86.pdf","","","","","","","","","","","","","",""
"10","1","B3","555","AppleII+:555_alt1","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fne555","","","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fne555","/product-detail/en/texas-instruments/NE555P/296-1411-5-ND/277057","IC OSC SINGLE TIMER 100KHZ 8-DIP","296-1411-5-ND","","Clock/Timing - Programmable Timers and Oscillators","NE555P","Texas Instruments","","","Active"
"11","2","B5, B8","74LS174","74xx:74LS174","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS174","","","","","","","","","","","","","",""
"12","2","B10, J13","74LS74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm","74xx/74hc_hct74.pdf","","","","","","","","","","","","","",""
"13","2","B11, H1","74LS08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS08","","","","","","","","","","","","","",""
"14","1","B12","74LS11","74xx:74LS11","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS11","","","","","","","","","","","","","",""
"15","1","B13","74LS02","74xx:74LS02","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74ls02","","","","","","","","","","","","","",""
"16","4","C1, E11, E12, E13","74LS153","74xx:74LS153","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS153","","","","","","","","","","","","","",""
"17","1","C2","74LS195","74xx:74LS195","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS195","","","","","","","","","","","","","",""
"18","24","C3, C4, C5, C6, C7, C8, C9, C10, D3, D4, D5, D6, D7, D8, D9, D10, E3, E4, E5, E6, E7, E8, E9, E10","4116","AppleII+:4116","Package_DIP:DIP-16_W7.62mm","","","","","","","","","","","","","","",""
"19","1","C11","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS04","","","","","","","","","","","","","",""
"20","1","C13","74LS51","74xx:74LS51","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74ls51.pdf","","","","","","","","","","","","","",""
"21","1","C14","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS32","","","","","","","","","","","","","",""
"22","37","Cap1, Cap3, Cap4, Cap16, Cap17, Cap18, Cap19, Cap20, Cap21, Cap22, Cap23, Cap24, Cap25, Cap26, Cap27, Cap28, Cap29, Cap30, Cap31, Cap32, Cap33, Cap34, Cap35, Cap36, Cap37, Cap38, Cap39, Cap40, Cap41, Cap42, Cap43, Cap44, Cap45, Cap46, Cap47, Cap48, Cap49","0.1uF","Device:C_Small","Apple-II:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","","","",""
